keyword,count,priority
python,41,high
sql,33,high
spark,23,high
apache,21,high
data,20,high
airflow,13,high
looker,12,high
r,12,high
azure,11,high
tableau,11,high
snowflake,11,high
agile,10,high
bigquery,9,high
databricks,9,high
docker,8,high
nosql,7,high
kubernetes,7,high
cloud,7,high
hadoop,7,high
etl,6,high
visualization,6,high
mysql,6,high
pandas,5,high
engineer,5,high
gcp,5,high
postgresql,5,high
google,5,high
compliance,4,high
scala,4,high
technologies,4,high
big,4,high
machine,4,high
learning,4,high
git,3,high
bi,3,high
power,3,high
decision,3,high
making,3,high
github,3,high
hive,2,high
pytorch,2,high
postgres,2,high
detection,2,high
ccpa,2,high
fraud,2,high
database,2,high
modeling,2,high
powerbi,2,high
mathematics,2,high
back,2,high
numpy,2,high
tensorflow,2,high
infrastructure,2,high
statistics,2,high
dynamodb,2,high
matplotlib,2,high
end,2,high
db,1,high
sas,1,high
s,1,high
dynamo,1,high
performance,1,high
science,1,high
information,1,high
security,1,high
advertising,1,high
campaign,1,high
pipeline,1,high
api,1,high
solutions,1,high
apis,1,high
rest,1,high
business,1,high
intelligence,1,high
project,1,high
management,1,high
predictive,1,high
analytics,1,high
kubernete,1,high
dbnosqlsnowflakepython,1,high
mysqldynamo,1,high
campaigns,1,high
data,43,low
etl,19,low
engineer,15,low
learning,12,low
machine,12,low
compliance,11,low
modeling,10,low
visualization,8,low
database,7,low
pipeline,6,low
decision,5,low
making,5,low
api,5,low
mathematics,5,low
clustering,5,low
solutions,4,low
infrastructure,3,low
predictive,3,low
cloud,3,low
analytics,3,low
devops,3,low
backend,3,low
skills,1,low
solving,1,low
problem,1,low
devop,1,low
detail,1,low
to,1,low
attention,1,low
fraud,1,low
detection,1,low
interpersonal,1,low
